# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "GCF_000005845.2_ASM584v2_genomic.gff" "-o" "count_matrix.txt" "-t" "exon" "-g" "gene" "-p" "-B" "SRR390728.sorted.bam" "SRR390729.sorted.bam" "SRR390730.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR390728.sorted.bam	SRR390729.sorted.bam	SRR390730.sorted.bam
mgrR	NC_000913.3	1622817	1622914	-	98	12	0	0
dicF	NC_000913.3	1649382	1649434	+	53	3	0	0
valV	NC_000913.3	1746435	1746511	+	77	3	0	0
valW	NC_000913.3	1746516	1746592	+	77	10	0	0
rydB	NC_000913.3	1764713	1764780	-	68	2	0	0
rprA	NC_000913.3	1770372	1770477	+	106	70	0	0
ryeA	NC_000913.3	1923066	1923337	+	272	19	0	0
sdsR	NC_000913.3	1923104	1923207	-	104	0	0	0
micL	NC_000913.3	1958441	1958520	-	80	2	0	0
motR	NC_000913.3	1977208	1977302	-	95	6	0	0
3'ETS-leuZ	NC_000913.3	1991748	1991814	-	67	7	0	0
leuZ	NC_000913.3	1991815	1991901	-	87	4	0	0
cysT	NC_000913.3	1991914	1991987	-	74	4	0	0
glyW	NC_000913.3	1992042	1992117	-	76	5	0	1
sdsN	NC_000913.3	1996921	1997057	+	137	24	0	0
fliX	NC_000913.3	2001912	2002106	-	195	20	0	0
dsrA	NC_000913.3	2025223	2025313	-	91	10	0	0
rseX	NC_000913.3	2033649	2033739	+	91	9	0	0
serU	NC_000913.3	2043468	2043557	-	90	8	0	0
asnT	NC_000913.3	2044549	2044624	+	76	8	0	0
asnW	NC_000913.3	2058027	2058102	-	76	2	0	0
asnU	NC_000913.3	2059851	2059926	+	76	2	0	0
asnV	NC_000913.3	2062260	2062335	+	76	1	0	0
isrC	NC_000913.3	2071317	2071511	+	195	11	0	0
sibA	NC_000913.3	2153311	2153454	+	144	10	0	0
sibB	NC_000913.3	2153646	2153781	+	136	10	0	0
cyaR	NC_000913.3	2167114	2167200	+	87	7	0	0
proL	NC_000913.3	2286211	2286287	+	77	6	0	0
micF	NC_000913.3	2313084	2313176	+	93	18	0	0
argW	NC_000913.3	2466309	2466383	+	75	6	0	0
alaX	NC_000913.3	2518041	2518116	-	76	2	0	0
alaW	NC_000913.3	2518156	2518231	-	76	2	0	0
valU	NC_000913.3	2520931	2521006	+	76	1	0	0
valX	NC_000913.3	2521051	2521126	+	76	2	0	0
valY	NC_000913.3	2521173	2521248	+	76	0	0	0
lysV	NC_000913.3	2521253	2521328	+	76	2	0	0
sroE	NC_000913.3	2640595	2640686	-	92	17	0	0
timR	NC_000913.3	2653356	2653455	-	100	12	0	0
ryfA	NC_000913.3	2653855	2654158	+	304	8	0	0
glmY	NC_000913.3	2691157	2691340	-	184	7	0	0
ohsC	NC_000913.3	2700520	2700598	+	79	10	0	0
rrfG	NC_000913.3	2726069	2726188	-	120	5	0	0
rrlG	NC_000913.3	2726281	2729184	-	2904	1527	159	105
gltW	NC_000913.3	2729369	2729444	-	76	5	0	0
rrsG	NC_000913.3	2729616	2731157	-	1542	797	877	1116
ryfD	NC_000913.3	2734153	2734295	-	143	10	0	0
raiZ	NC_000913.3	2737381	2737542	+	162	11	0	0
ssrA	NC_000913.3	2755593	2755955	+	363	15	0	2
ileY	NC_000913.3	2785762	2785837	-	76	15	0	0
micA	NC_000913.3	2814802	2814874	+	73	20	0	0
argQ	NC_000913.3	2817784	2817860	-	77	0	0	0
argZ	NC_000913.3	2818059	2818135	-	77	0	0	0
argY	NC_000913.3	2818198	2818274	-	77	0	0	0
argV	NC_000913.3	2818473	2818549	-	77	0	0	0
serV	NC_000913.3	2818553	2818645	-	93	11	0	0
sokX	NC_000913.3	2887353	2887411	+	59	2	0	0
csrB	NC_000913.3	2924156	2924524	-	369	46	0	0
gcvB	NC_000913.3	2942696	2942901	+	206	17	0	0
metZ	NC_000913.3	2947387	2947463	+	77	0	0	0
metW	NC_000913.3	2947497	2947573	+	77	1	0	0
metV	NC_000913.3	2947607	2947683	+	77	0	0	0
omrA	NC_000913.3	2976102	2976189	-	88	2	0	0
omrB	NC_000913.3	2976304	2976385	-	82	4	0	0
glyU	NC_000913.3	2998984	2999057	-	74	6	0	0
ssrS	NC_000913.3	3055983	3056165	+	183	11	0	0
sibC	NC_000913.3	3056851	3056991	+	141	5	0	0
pheV	NC_000913.3	3110366	3110441	+	76	1	0	0
sibD	NC_000913.3	3194721	3194865	-	145	10	0	0
sibE	NC_000913.3	3195097	3195240	-	144	2	0	0
ileX	NC_000913.3	3215598	3215673	+	76	11	0	0
rnpB	NC_000913.3	3270216	3270592	-	377	18	1	5
sraG	NC_000913.3	3311183	3311398	+	216	31	0	0
metY	NC_000913.3	3318213	3318289	-	77	10	0	0
leuU	NC_000913.3	3322072	3322158	-	87	11	1	0
arcZ	NC_000913.3	3350577	3350697	+	121	9	0	0
rrfF	NC_000913.3	3423423	3423542	-	120	5	0	0
thrV	NC_000913.3	3423580	3423655	-	76	6	0	0
rrfD	NC_000913.3	3423668	3423787	-	120	4	0	0
rrlD	NC_000913.3	3423880	3426783	-	2904	1189	29	43
alaU	NC_000913.3	3426958	3427033	-	76	25	0	0
ileU	NC_000913.3	3427076	3427152	-	77	5	0	0
rrsD	NC_000913.3	3427221	3428762	-	1542	723	602	740
ryhB	NC_000913.3	3580922	3581016	-	95	14	0	0
agrA	NC_000913.3	3648063	3648144	+	82	2	0	0
agrB	NC_000913.3	3648294	3648375	+	82	5	0	0
arrS	NC_000913.3	3657985	3658054	-	70	3	0	0
gadF	NC_000913.3	3658992	3659082	+	91	7	0	0
gadY	NC_000913.3	3664864	3664969	+	106	14	0	0
rdlD	NC_000913.3	3700136	3700199	+	64	5	0	0
proK	NC_000913.3	3708616	3708692	-	77	2	0	0
xylZ	NC_000913.3	3729386	3729545	-	160	9	0	0
rirA	NC_000913.3	3808166	3808238	-	73	8	0	0
selC	NC_000913.3	3836222	3836316	+	95	8	0	0
uhpU	NC_000913.3	3845730	3845995	-	266	13	0	0
istR	NC_000913.3;NC_000913.3	3853118;3853118	3853257;3853190	-;-	140	5	0	0
rbsZ	NC_000913.3	3937045	3937278	+	234	15	0	0
rrsC	NC_000913.3	3941808	3943349	+	1542	253	40	135
gltU	NC_000913.3	3943435	3943510	+	76	4	0	0
rrlC	NC_000913.3	3943704	3946607	+	2904	618	60	36
rrfC	NC_000913.3	3946700	3946819	+	120	12	0	0
aspT	NC_000913.3	3946872	3946948	+	77	1	0	0
trpT	NC_000913.3	3946957	3947032	+	76	5	0	0
argX	NC_000913.3	3982375	3982451	+	77	11	0	0
hisR	NC_000913.3	3982509	3982585	+	77	7	1	2
leuT	NC_000913.3	3982606	3982692	+	87	4	0	0
proM	NC_000913.3	3982735	3982811	+	77	5	0	0
glmZ	NC_000913.3	3986432	3986603	+	172	9	0	0
esrE	NC_000913.3	4019978	4020229	+	252	11	0	0
rrsA	NC_000913.3	4035531	4037072	+	1542	74	24	18
ileT	NC_000913.3	4037141	4037217	+	77	5	0	0
alaT	NC_000913.3	4037260	4037335	+	76	4	0	0
rrlA	NC_000913.3	4037519	4040423	+	2905	130	62	63
rrfA	NC_000913.3	4040517	4040636	+	120	6	0	0
spf	NC_000913.3	4049899	4050009	+	111	7	0	0
csrC	NC_000913.3	4051036	4051281	+	246	25	0	0
cpxQ	NC_000913.3	4106330	4106387	+	58	14	0	0
oxyS	NC_000913.3	4158278	4158394	-	117	4	0	0
rrsB	NC_000913.3	4166659	4168200	+	1542	85	116	63
gltT	NC_000913.3	4168372	4168447	+	76	7	0	0
rrlB	NC_000913.3	4168641	4171544	+	2904	108	22	37
rrfB	NC_000913.3	4171637	4171756	+	120	4	0	0
thrU	NC_000913.3	4175388	4175463	+	76	8	0	0
tyrU	NC_000913.3	4175472	4175556	+	85	9	0	0
glyT	NC_000913.3	4175673	4175747	+	75	23	0	0
thrT	NC_000913.3	4175754	4175829	+	76	273	0	0
sroH	NC_000913.3	4190327	4190487	-	161	16	0	0
rrsE	NC_000913.3	4208147	4209688	+	1542	366	6	5
gltV	NC_000913.3	4209774	4209849	+	76	6	0	0
rrlE	NC_000913.3	4210043	4212946	+	2904	224	0	0
rrfE	NC_000913.3	4213040	4213159	+	120	6	0	0
aceK-int	NC_000913.3	4218879	4218963	+	85	4	0	0
malH	NC_000913.3	4242531	4242633	-	103	13	0	0
pspH	NC_000913.3	4263139	4263249	+	111	13	0	0
ryjA	NC_000913.3	4277926	4278066	-	141	24	0	0
pheU	NC_000913.3	4362551	4362626	-	76	8	0	0
aspX	NC_000913.3	4366839	4366951	-	113	8	0	0
glyV	NC_000913.3	4392360	4392435	+	76	0	0	0
glyX	NC_000913.3	4392472	4392547	+	76	0	0	0
glyY	NC_000913.3	4392583	4392658	+	76	1	0	0
leuX	NC_000913.3	4496405	4496489	+	85	3	0	0
ryjB	NC_000913.3	4527977	4528066	+	90	0	0	0
symR	NC_000913.3	4579835	4579911	+	77	9	0	0
leuV	NC_000913.3	4606079	4606165	-	87	2	0	0
leuP	NC_000913.3	4606200	4606286	-	87	0	0	0
leuQ	NC_000913.3	4606315	4606401	-	87	0	0	0
